Name,Team,season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense,sc_pitches,sc_bip,sc_chase_den,sc_whiff_den,sc_zcontact_den,sc_barrel_den,sc_hardhit_den,sc_EV,sc_LA,sc_barrel_pct,sc_barrel_se,sc_hardhit_pct,sc_hardhit_se,sc_chase_pct,sc_chase_se,sc_zswing_pct,sc_zswing_se,sc_whiff_pct,sc_whiff_se,sc_zcontact_pct,sc_zcontact_se,sc_swstr_pct,sc_babip,sc_babip_den,sc_babip_se,sc_xbabip,woba,est_woba,ba,est_ba,slg,est_slg,age,partial
Jarren Duran,BOS,2021,24.0,33.0,112.0,107.0,23.0,2.0,0.214953271,0.241071428,0.336448598,0.577520026,0.121495327,0.318181818,0.2473721887384142,0.2459217820848737,47.57752269285587,-0.3263355167074545,0.357142857,0.035714285,0.04411765,0.39705882,89.61790899020522,108.2,7.791044776119403,0.38582677,0.70857143,0.51748252,0.54081633,0.81451613,0.69369369,0.15850816,0.492537313,0.313432835,0.19402985,0.33823529,0.33823529,0.32352941,7.355344561740036,0.5257598115131259,0.1000000238418579,-0.0877736257389187,-0.4258873164653778,-0.7533906102180481,-6.662729307364097,429,68,224,222,144,68,68,88.84411764705882,8.529411764705882,0.0441176470588235,0.0249031300527418,0.3970588235294117,0.059334930961109,0.3482142857142857,0.0318311040141932,0.7024390243902439,0.031931209704455,0.3108108108108108,0.0310628142084593,0.8125,0.0325260312416583,0.1608391608391608,0.3181818181818182,66,0.0573323839897173,0.3460769230769231,0.247,0.246,0.215,0.22,0.336,0.308,24,False
Jarren Duran,BOS,2022,25.0,58.0,223.0,204.0,45.0,3.0,0.220588235,0.28251121,0.362745098,0.645256308,0.142156863,0.302158273,0.2838575823959213,0.28646347661724,77.32115962421896,-0.1284794808090645,0.28251121,0.062780269,0.07746479,0.38028169,89.25147202435662,110.4,7.5661764705882355,0.34122288,0.70855615,0.49716232,0.56647399,0.87924528,0.75570776,0.12145289,0.507352941,0.338235294,0.154411764,0.35211268,0.37323944,0.27464789,7.301909899896414,2.2258524796925485,-0.800000011920929,0.8248398206196725,-4.815422862768173,-5.1829352378845215,-3.465206028340205,881,142,447,440,299,142,142,87.31126760563379,6.612676056338028,0.0774647887323943,0.0224336259241771,0.380281690140845,0.040738562404582,0.3154362416107382,0.0219790534352322,0.6889400921658986,0.022221219234508,0.2409090909090909,0.0203867102893954,0.8695652173913043,0.0194765573945071,0.1203178206583427,0.302158273381295,139,0.0389482825517432,0.3126159420289855,0.284,0.286,0.221,0.22,0.363,0.367,25,False
Jarren Duran,BOS,2023,26.0,102.0,362.0,332.0,98.0,8.0,0.295180722,0.346260387,0.48192771,0.828188097,0.186746988,0.381355932,0.3536087824238671,0.3213809977666913,121.79762522376636,2.4892974088292936,0.248618784,0.066298342,0.05306122,0.46122449,89.89545131714875,112.6,10.698347107438016,0.34525277,0.74188034,0.51146132,0.58928571,0.9124424,0.78571429,0.10920771,0.41322314,0.330578512,0.256198347,0.31967213,0.38114754,0.29918033,7.040178361320512,7.221896834671497,1.2999999523162842,3.3394340947270393,-4.062661986798048,-4.014650821685791,16.67665293656934,1405,244,703,720,509,244,244,89.42622950819673,10.270491803278688,0.0532786885245901,0.0143778161708581,0.4631147540983606,0.0319220027050293,0.3001422475106685,0.0172858520483742,0.7334293948126801,0.0167843895172262,0.2166666666666666,0.0153533484504838,0.8919449901768173,0.0137604487661616,0.1110320284697509,0.3813559322033898,236,0.0316176565920963,0.3554188034188034,0.354,0.322,0.295,0.266,0.482,0.41,26,False
Jarren Duran,BOS,2024,27.0,160.0,735.0,671.0,191.0,21.0,0.284649776,0.341961852,0.491803278,0.83376513,0.207153502,0.344827586,0.3568673902286514,0.3395408880515176,130.74070663303564,6.8289343934834825,0.217687074,0.073469387,0.09320388,0.43883495,90.78228038877953,113.9,9.467583497053043,0.31238447,0.70819672,0.48223707,0.60157791,0.88657407,0.78118162,0.10533708,0.46561886,0.351669941,0.182711198,0.3223301,0.38058252,0.29708738,7.982662395677068,8.327457450330257,2.099999964237213,2.6469207033514977,7.598674058914185,9.352217674255373,34.180210206600464,2852,515,1414,1373,975,515,514,90.18268482490272,9.122330097087378,0.0932038834951456,0.0128105629653221,0.4396887159533074,0.0218930256034035,0.2814710042432815,0.0119595344957955,0.6818181818181818,0.012316971881753,0.2184996358339402,0.0111520493472124,0.8738461538461538,0.0106332354269797,0.1051893408134642,0.3441295546558704,494,0.0213750206225826,0.3328466257668712,0.357,0.34,0.285,0.267,0.492,0.456,27,False
Jarren Duran,BOS,2025,28.0,157.0,696.0,620.0,159.0,16.0,0.256451612,0.3323741,0.441935483,0.774309583,0.185483871,0.326484018,0.3350495208237288,0.3257216196211557,111.15078705378288,3.910729398825273,0.242816091,0.086206896,0.0967033,0.46813187,91.76246895695364,117.7,12.02207505518764,0.34663179,0.64625229,0.47159741,0.54716981,0.87977369,0.73726758,0.12371526,0.416299559,0.389867841,0.193832599,0.38241758,0.36043956,0.25714286,7.237121696850838,7.181319713592529,,1.286628246307373,-2.0396673679351807,3.661634683609009,16.328502058946526,2631,455,1350,1238,818,455,454,91.6262114537445,12.0352422907489,0.0967032967032967,0.0138557536832859,0.4691629955947136,0.0234214912773474,0.3111111111111111,0.0125998526638746,0.6420722135007849,0.0134308942973124,0.2617124394184168,0.0124929394751704,0.8691931540342298,0.0117895365637953,0.1231470923603192,0.3257403189066059,439,0.0223674818649248,0.32636866359447,0.335,0.326,0.256,0.248,0.442,0.41,28,False
Jarren Duran,BOS,2026,29.0,96.0,410.0,370.0,71.0,13.0,0.191891891,0.25183374,0.34054054,0.59237428,0.148648649,0.238683127,0.2601449171896377,0.2921399647379156,58.40098238313287,-0.0604584357507417,0.295121951,0.068292682,0.10505837,0.38521401,89.61035545318725,114.7,12.706349206349206,0.3679558,0.67189953,0.49351492,0.45345345,0.86682243,0.68593955,0.15499351,0.456692913,0.377952755,0.16535433,0.43579767,0.3463035,0.21789883,6.661190403875724,2.942395328078419,,1.543961285147816,1.6912546157836914,6.005383014678955,-16.99741193131987,1509,253,800,743,468,253,250,88.9704,12.50597609561753,0.1067193675889328,0.0194113312096169,0.396,0.0309311493481894,0.34375,0.0167923322345349,0.6600846262341326,0.0177894325473724,0.3176312247644683,0.0170795632333218,0.8397435897435898,0.0169573555900422,0.1563949635520212,0.2333333333333333,240,0.0273014719451235,0.3129737991266375,0.26,0.295,0.19,0.226,0.342,0.376,29,True
